,laptops,prices,ratings,votes
110,"Lenovo Yoga 730 15.6"" Touchscreen 2-in-1 Laptop (Intel Core i7-8550U/256GB SSD/8GB RAM) - English","$1,400.89",92.0,(118)
111,"Microsoft Surface 13.5"" Laptop-Gold (7th Gen Intel Core i5-7200U/256GB SSD/8GB RAM/Win 10 S)-English","$1,000.87",95.8,(34)
112,"Dell XPS 13.3"" Laptop - Rose Gold/Alpine White (Intel Core i7-8550U/256GB SSD/8GB RAM/Windows 10)","$1,800.89",60.0,(2)
113,"Dell 15.6"" Touchscreen 2-in-1 Laptop - Era Grey (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10)","$1,050.89",90.0,(2)
114,"Apple MacBook Air 13.3"" w/ Retina - Space Grey (Intel Core i5 1.6GHz / 256GB SSD / 8GB RAM) - English","$1,750.89",96.2,(27)
115,BUNDLE with Headset - MSI GF63 8RC-252CA Gaming Laptop (Intel Core i7-8750H / DDR4 8GB RAM / 128GB NVMe S) - Black,"$1,306.99",100.0,(2)
116,"Apple MacBook Air 13.3"" w/ Retina - Gold (Intel Core i5 1.6GHz / 256GB SSD / 8GB RAM) - English","$1,750.89",94.8,(19)
117,"Dell Inspiron 15.6"" Laptop - Black (Intel Core i3-7130U/1TB HDD/8GB RAM/Windows 10)",$330.87,77.0,(13)
118,"Apple MacBook Air 13.3"" (Intel Core i5 1.8 GHz/ 256GB SSD/ 8GB RAM) (2017 Model) - English - Open Box","$1,350.89",100.0,(1)
119,"Lenovo IdeaPad 530S 14"" Laptop - Onyx Black (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10)","$1,000.89",40.0,(1)
120,"Dell Inspiron 15.6"" Laptop - Platinum Silver (Intel Core i7-8550U/1TB HDD/128GB SSD/8GB RAM/Win 10)","$1,100.89",75.0,(4)
121,"ASUS VivoBook S15 15.6"" Laptop - Gun Metal (Intel Core i5-8250U/256GB SSD/8GB RAM/Win 10) - English",$950.89,100.0,(1)
122,"Microsoft Surface 2 13.5"" Touchscreen Laptop - Black (Intel Core i7/256GB SSD/8GB RAM) - English","$1,750.89",93.4,(3)
123,"Lenovo IdeaPad 330S 15.6"" Laptop - Platinum Grey (Intel Core i7-8550U/256GB SSD/8GB RAM/Windows 10)","$1,000.89",95.0,(4)
124,"Lenovo IdeaPad 320 15.6"" Laptop - Platinum Grey (AMD A12-9720P/1TB HDD/8GB RAM/AMD Radeon R7/Win 10)",$700.89,59.6,(44)
125,"HP 15.6"" Touchscreen Laptop - Smoke Grey (AMD A9-9425/1TB HDD/8GB RAM/Windows 10)",$400.87,36.6,(18)
126,"Dell Inspiron 15.6"" Laptop - Black (Intel Core i3-7130U/1TB HDD/8GB RAM/Windows 10) - Open Box",$550.89,20.0,(2)
