,laptops,prices,ratings,votes
106,"Refurbished (Excellent) - ASUS Vivobook Go 15 15.6"" Laptop - Mixed Black (AMD Ryzen 5 7520U/8GB RAM/512GB SSD/Windows 11)",$404.99,0.0,0
107,ASUS Vivobook Go 15 15.6” Laptop - Mixed Black (AMD Ryzen 3 7320U Processor / 512GB SSD / 8GB RAM / AMD Radeon Graphics),$450.37,3.78,32
108,"Refurbished (Fair) - Lenovo IdeaPad Slim 3i 15.3"" Laptop - Luna Grey (Intel Core 3 - 100U/8GB RAM/512GB SSD/Windows 11)",$329.99,0.0,0
109,"Refurbished (Good) - DELL LATITUDE 5410 14"" HD,Core i5-10310U, 8GB DDR4, 256G SSD, Webcam, Windows 11 Pro",$279,0.0,0
110,"Refurbished (Good) - Lenovo ThinkPad T470s 14"" Laptop (Intel Core i5-7300U, 8GB RAM, 256GB SSD, Windows 10 Pro)",$229.99,0.0,0
111,"Dell Latitude E7470 Ultrabook: i7-6600U 2.6GHz, 8GB, 256GB SSD, HDMI, 14"", Webcam, Windows 11 Pro – Refurbished (Good)",$275,0.0,0
112,"Refurbished (Good) - HP ProBook x360 G6 TOUCH FHD 2 in 1- 8GB RAM, FAST 512GB M.2 SSD, Intel Quad-Core i5-10210 10th Gen 11.6” - Windows 11",$260,0.0,0
113,Refurbished (Good) Dell LATITUDE 5300 I5-8365U | 8GB | 256 GB Windows 11 Pro,$329,0.0,0
114,"Acer Aspire 3 14 2024 Laptop, 8-Core Intel Core i3-N305, 14"" FHD Display, Intel UHD Graphics, 8GB LPDDR5 256GB SSD, Wi-Fi 6, Win10 Home",$460.91,0.0,0
115,"HP Premium Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 64GB eMMC Storage, 8GB RAM, UHD Graphics, HD Webcam, 1 Year Office 365, HDMI, Win 11s, Gold, 32GB Hotface USB Card",$389,0.0,0
116,"Refurbished (Good) - HP ProBook x360 G6 TOUCH FHD 2 in 1- 8GB RAM, FAST 256GB M.2 SSD, Intel Quad-Core i5-10210 10th Gen 11.6” - Windows 11",$230,0.0,0
117,"Refurbished (Good) - Dell Latitude 7280 12.5"" Business Ultrabook: Intel i7-7600U 2.8GHz, 8GB, 256GB SSD, Webcam, HDMI, Win 10 Pro",$269,0.0,0
118,"HP 15.6-inch Touch BrightView Laptop, Intel I3-1315U,416GB Storage (256GB SSD+160GB Docking Station Set), 8GB DDR4 RAM, Intel UHD Graphics, Full-Size Keypad, Win 11 Home, Silver",$679,4.67,614
119,HP 15-fd0050ca Core i5-1334U - Natural Silver - 15.6in FHD,$974.99,3.0,8
120,"Dell 15 15.6"" FHD 120Hz IPS Laptop, Intel Core 3 100U, 8GB DDR4 512GB SSD, Intel UHD Graphics, Windows 11 Home, Wi-Fi 6, Bluetooth, Lightweight & Portable, Anti-Glare, HDMI, Black",$449.99,0.0,0
121,"Dell - Inspiron 15.6"" FHD 1920 x 1080, Touch Screen Laptop, Copilot AI, 10-core Intel Core i5-1334U 8GB RAM 512GB SSD, Wi-Fi 6, Bluetooth, Windows 11 S mode, Black",$639.99,0.0,0
122,"HP 14"" Laptop - Natural Silver (AMD Ryzen 3 7320U/512GB SSD/8GB RAM/Windows 11)",$350.37,3.96,26
123,"Acer Aspire 3 Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 1TB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S",$549.99,0.0,0
124,"Laptop Computer, Windows 11 Laptop, 8GB+128GB, Intel Celeron Dual core Processors, 10"" Laptops, Bluetooth WiFi Webcam HDMI, and Laptop Bag,Mouse, Mouse Pad, Headphone",$289.95,2.0,1
125,"Microsoft Surface Laptop Go 3 12.45"" Touchscreen Laptop - Sandstone (Intel i5-1235U/256GB SSD/8GB RAM) - Exclusive Retail Partner",$1100.3700000000001,5.0,2
126,"HP 15.6"" Full HD (1920x1080) TouchScreen Laptop, Intel Core i3-N305, 8GB DDR4, 256GB SSD, FHD Anti-Glare Screen, Windows 11 Home, Wi-Fi 6, Long Battery Life, Natural silver",$509.99,0.0,0
127,"Refurbished (Good) - Dell Inspiron 15 15.6"" Touchscreen Laptop (Intel Core i5 1334U/8GB RAM/512GB SSD/Windows 11)",$384.99,0.0,0
128,"HP 17.3"" HD+ BrightView Laptop, Intel Celeron N4120, 416GB Storage (256GB SSD + 160GB Docking Station Set), 8GB RAM, Intel UHD Graphics, Windows 11 Home, Rose Gold",$649,0.0,0
129,"Lenovo IdeaPad Slim 3i 15.6"" FHD Laptop, Intel Core i3-N305, 8GB 4800MHz LPDDR5 RAM, 256GB SSD, Arctic Grey, Windows 11 Home, Dolby Audio, Intel UHD Graphics, WIFI 6",$559.99,4.71,126
130,"Refurbished (Excellent) ASUS ZenBook 14"" OLED Touch Laptop, Ultra 5 125H, 8GB RAM, 1TB SSD, AI PC, 15-Hr Battery, Win 11, Webcam",$819.99,0.0,0
