,laptops,prices,ratings,votes
105,"Dell XPS 12.5"" 4K Convertible Laptop-Silver (Intel Core m5 6Y54/256GB SSD/8GB RAM/Windows 10)-English","$1,400.89",40.0,(1)
106,"Acer Swift 3 15.6"" Laptop - Silver (Intel Core i5-8250U/128GB SSD/1TB HDD/8GB RAM/Windows 10)",$800.87,74.6,(11)
107,"ASUS ZenBook 14"" Laptop - Grey (Intel Core i5-7200U/ 256GB SSD/ 8GB RAM/ Windows 10)",$750.87,85.0,(8)
108,"ASUS VivoBook X541UA 15.6"" Touchscreen Laptop - Black/Gold (Intel Core i5-7200U/1TB HDD/8GB RAM)",$800.89,66.6,(3)
109,"Microsoft Surface Book 2 13.5"" 2-in-1 Laptop (Intel Core i7-8650U/ 256GB SSD/ 8GB RAM) - English","$2,650.89",90.8,(13)
110,"Dell Inspiron 15.6"" Gaming Laptop - Black (Intel Core i7-6700HQ 6th Gen/1TB HDD/8GB RAM/Windows 10)","$1,000.87",80.0,(53)
111,"HP Spectre x360 13.3"" Touchscreen Laptop - Silver (i5-7200U/256GB SSD/8GB RAM/Win 10) - Open Box","$1,400.89",80.0,(1)
112,"Dell XPS 13.3"" Convertible Laptop - Silver (Intel Core i7-7Y75/256GB SSD/8GB RAM/Win 10) - Open Box","$1,800.89",80.0,(2)
113,"Microsoft Surface 13.5"" Laptop-Blue (7th Gen Intel Core i5-7200U/256GB SSD/8GB RAM/Win 10 S)-English","$1,650.89",95.8,(47)
114,"HP 15.6"" Touchscreen Laptop - Silver (Intel Core i5-7200U/ 1TB HDD/ 8GB RAM/ Win10) - Open Box",$700.89,20.0,(1)
115,"Microsoft Surface 13.5"" Laptop -Burgundy (7th Gen Intel Core i5-7200U/256GB SSD/8GB RAM/Win 10S)-Eng","$1,650.89",96.2,(26)
116,"ASUS ZenBook Flip UX360CA 13.3"" Touchscreen Laptop - Gold (Intel Core m3-6Y30/256GB SSD) - Open Box",$950.89,80.0,(4)
117,"Acer Aspire E 15"" Laptop - Black/Iron (Intel Pentium Quad Core N3700/1TB HDD/8GB RAM/Win10)-Open Box",$500.89,60.0,(4)
118,"Apple MacBook 12"" Laptop w/ Retina (Intel Core m3 1.2GHz/256GB SSD/8GB RAM) - Space Grey - English","$1,730.89",95.6,(89)
119,"Apple MacBook Pro 13.3"" Laptop w/ Touch Bar (Intel Core i5 3.1GHz/512GB SSD/8GB RAM) -Space Grey-English","$2,650.89",97.0,(269)
120,"HP 15.6"" Touchscreen Laptop - Grey (AMD A9-9420/ 1TB HDD/ 8GB RAM/ Windows 10) - Open Box",$600.89,100.0,(1)
121,"Dell Inspiron 15.6"" Gaming Laptop - Black (Intel Core i7-6700HQ/1TB HDD/8GB RAM/Windows 10)-Open Box","$1,000.89",46.6,(3)
122,"Alienware 13.3"" VR Gaming Laptop-Silver (Intel Core i7-7700HQ/256GB SSD/8GB RAM/NVIDIA GTX 1060)-Eng","$2,100.89",60.0,(2)
123,"Dell i7567 15.6"" Laptop - Black (Intel Core i5-7300HQ/1TB HDD/8GB SSD/8GB RAM/Windows 10) - Open Box","$1,050.89",84.0,(5)
124,"Asus VivoBook Max X541UV 15.6"" Laptop - Black (Intel Core i7-6500U/1TB HDD/8GB RAM/Win10) - Open Box",$750.89,40.0,(11)
125,"Google Pixelbook 12.3"" Chromebook - Silver (Intel Kaby Lake-Y i5/256GB eMMC/8GB RAM/Chrome OS)-Eng","$1,480.89",85.6,(18)
126,DELL PRECISION M4700 I7 3740QM 2.7 GHZ 8GB 320GB 15.6W 2GB NVIDIA DVD/RW WIN 10 PRO WEBCAM 1YR - Refurbished,$699.00,80.0,(1)
127,"Dell i7579 15.6"" Touchscreen Laptop (Intel Core i5-7200U/256GB SSD/8GB DDR4 RAM/Windows 10)",$800.87,52.2,(18)
128,"HP Pavilion x360 14"" 2-in-1 Laptop - Silver (Intel Core i5-7200U/256GB SSD/8GB RAM/Win10) - Open Box",$950.89,20.0,(1)
129,"Apple MacBook Pro 13.3"" Laptop w/ Touch Bar (Intel Core i5 3.1GHz/256GB SSD/8GB RAM)-Silver- English","$2,300.89",97.4,(113)
130,"Microsoft Surface 13.5"" Laptop-Gold (7th Gen Intel Core i5-7200U/256GB SSD/8GB RAM/Win 10 S)-English","$1,650.89",97.4,(15)
131,"ASUS 15.6"" Laptop - Black/Gold (Intel Core i7-5500U/1TB HDD/8GB RAM/Windows 10) - Open Box",$850.89,55.6,(9)
132,"ASUS VivoBook X541UV 15.6"" Laptop - Chocolate Black/Gold (Intel Core i7-7500U/1TB HDD/8GB RAM/Win10)",$700.87,54.6,(22)
133,"Apple MacBook Pro 13.3"" Laptop (Intel Core i5 2.3GHz / 256GB SSD / 8GB RAM) - Silver - English","$1,980.89",96.8,(301)
134,"Apple MacBook 12"" Laptop w/ Retina (Intel Core m3 1.2GHz / 256GB SSD / 8GB RAM) - Gold - English","$1,730.89",95.8,(77)
135,"Acer Aspire ES 15.6"" Laptop - Black (Intel Pentium N4200/ 1TB HDD/ 8GB RAM/ Windows 10) - Open Box",$500.89,20.0,(3)
136,"HP 15.6"" Touchscreen Laptop - Grey (AMD A9-9420 / 1 TB HDD / 8GB RAM / Windows 10 Home)",$450.87,45.4,(30)
137,"ASUS VivoBook X541 15.6"" Laptop - Black (Intel Core i3-6100U/ 1TB HDD/ 8GB RAM/ Win 10) - Bilingual",$450.87,50.8,(13)
138,"Dell Latitude E6430 Intel i5-2.6 GHz, 8GB RAM, 128GB SSD Drive, DVDRW, Windows 10 Pro 64-Bit (French/English), 1YW-Refurbished",$329.00,46.0,(10)
139,"Dell Inspiron 17.3"" Laptop - Foggy Night (Intel Core i7-7500U/1TB HDD/8GB RAM/Windows 10) - Open Box","$1,100.89",33.4,(3)
140,"Dell 15.6"" Laptop - Black (Intel Core i5-7200U/ 1TB HDD/ 8GB RAM/ Windows 10) - English",$800.89,40.0,(1)
141,"ASUS B9440 14"" Laptop - Grey Magnesium (Intel Core i5-7200U/512GB SSD/8GB RAM/Windows 10) - English","$1,300.89",100.0,(1)
142,"ASUS VivoBook X541 15.6"" Laptop - Black (Intel Core i3-6100U/1TB HDD/8GB RAM/Windows 10) - Open Box",$600.89,73.4,(3)
143,"Dell i7579 15.6"" Touchscreen Laptop-Grey (Intel Core i5-7200U/256GB SSD/8GB DDR4 RAM/Win10)-Open Box","$1,000.89",20.0,(1)
144,"ASUS VivoBook X541 15.6"" Laptop - Chocolate Black (Intel Core i7-7500U/1TB HDD/8GB DDR4/Windows 10)",$700.87,45.0,(8)
145,"Microsoft Surface Laptop 13.5"" - Platinum (Intel Core i7-7660U/256GB SSD/8GB RAM/Win 10 S) - English","$2,000.89",93.6,(25)
146,"Apple MacBook 12"" Laptop w/ Retina (Intel Core i5 1.3GHz / 512GB SSD / 8GB RAM) - Rose Gold - Eng","$2,000.89",96.2,(16)
147,"Apple MacBook 12"" Laptop w/ Retina (Intel Core i5 1.3GHz / 512GB SSD / 8GB RAM) - Space Grey - Eng","$2,000.89",100.0,(4)
148,"Apple MacBook Pro 13.3"" Laptop w/ Touch Bar (Intel Core i5 3.1GHz/512GB SSD/8GB RAM) -Silver-English","$2,650.89",97.8,(27)
149,"HP Pavilion 15.6"" Touchscreen Laptop-Natural Silver/Ash Silver (AMD A10-9600P/1TB HDD/8GB RAM/Win10)",$700.88,52.0,(5)
150,"Dell 15.6"" Laptop - Matte Grey (Intel Core i5-7200U/ 1TB HDD/ 8GB RAM/ Windows 10) - Open Box",$680.89,53.4,(3)
151,"Acer Aspire E 15.6"" Laptop - Black (AMD A10-9600P / 1TB HDD / 8GB RAM / Windows 10)",$648.88,80.0,(1)
152,"Dell Latitude E6430, Intel i7-2.9 GHz, 8GB Memory, 256GB SSD Drive, DVDRW, Windows 10 Pro -64 Bit (French/English), 1yw-Refurb",$499.00,20.0,(1)
153,"Acer Spin 7 14"" Touchscreen Laptop - Black (Intel i7-7Y75/256GB SSD/8GB RAM/Windows 10)","$1,600.89",20.0,(1)
154,"HP EliteBook 2170p, 11.6"" Display, Intel Core i5, 8GB RAM, 250GB HDD, Windows 10 Home, 1 Year Warranty - Refurbished",$409.00,40.0,(4)
155,MSI WE62 7RJ-1837CA 15.6in FHD I5-7300HQ Quadro M2200 4GB 256GB Win10 Pro Workstation Laptop Bundle,"$1,950.89",100.0,(1)
156,"HP ELITEBOOK 820 G1, INTEL I5-4300U-1.9, 8GB MEMORY, 180GB SSD DRIVE, WIN 10 PRO , 1 YW-REFURBISHED",$399.00,60.0,(2)
157,"Apple MacBook 12"" Laptop w/ Retina (Intel Core i5 1.3GHz / 512GB SSD / 8GB RAM) - Gold - English","$2,000.89",100.0,(5)
